Item Code,Item Description,Unit,Rate,PCR RATE,FINAL ITEM NUMBER,Technical description   rating & size & & Make & MPN & Type
58,Ammeter Digital DC MECO 7.5V/1500A SMP35 (96x48)                                                    ,NOS.,350,#N/A,,
62,Ammeter Digital DC MECO 7.5V/3500A SMP45 (96x48)                                                    ,NOS.,985,#N/A,,
64,Ammeter Digital DC MECO 7.5V/5500A SMP45 (96x48)                                                    ,NOS.,985,#N/A,,
17835,Ammeter Digital DC MECO 75mV/1500-3000A CL 0.1 Adjustable  (48x96mm),NO.,0,#N/A,,
54,Ammeter Digital DC MECO 75mV/250A SMP35S                                                             ,NO.,0,#N/A,,
65,Ammeter Digital DC MECO 75mV/3500A SMP45 (48x96)                                                    ,NO.,0,#N/A,,
8998,Ammeter Digital DC Meco 75mV/4500A SMP45,NO.,0,#N/A,,
20476,Ammeter Digital DC MECO SMP35SRS,NOS.,1100,#N/A,,
28559,Ammeter Digital DC MECO SMP45S  60mV/1500A  48X96   4½  digit,NOS.,1006.25,#N/A,,
14784,Ammeter Digital DC MECO SMP45S 75mV 3000A  CL-1  48X96,NO.,0,#N/A,,
17841,Ammeter digital DC MECO SMP4SS 75mV/0-50A Adjustable,MTR,0,#N/A,,
14770,AMMETER DIGITAL DC MECO SMP9645S  3000A   CL-1,NO.,0,#N/A,,
14767,AMMETER DIGITAL DC MECO SMP9645S 1500A CL-1,NO.,0,#N/A,,
23991,Ammeter Digital DC Rishabh 0-75mV/0 … 9999 (prog) Aux.Supply 40-300VAC-DC,NOS.,895.9,#N/A,,
12446,Ammeter Digital DC RISHABH 10V/10KA 4 1/2 Digit 96x96mm     ,NO.,0,#N/A,,
25851,Ammeter Digital DC RISHABH RISH ADC DD14  I/P 0-20mA Class:0.1   Aux.Supply-230 VAC,NOS.,1533.4,#N/A,,
31186,AMMETER DIGITAL DC RISHABH RISH EINE+ DC DPM INPUT 0-10VDC,NOS.,830.8,#N/A,,
28468,AMMETER DIGITAL DC RISHABH RISH EINE+ DC DPM INPUT: 0-10VDC,NOS.,895.9,#N/A,,
29759,AMMETER DIGITAL DC RISHABH Rish VDC F INPUT: 0-10VDC DISPLAY 14400ADC,NOS.,1419.8,#N/A,,
30063,AMMETER DIGITAL DC RISHABH Rish VDC F INPUT: 0-10VDC DISPLAY 15000ADC,NOS.,1419.8,#N/A,,
20538,Ammeter Digital Elmeasure  uALPHA+ADC I/P10VDC,NO.,0,#N/A,,
4588,Ammeter Digital MECO SMP9635SRS 96x96 100-1600A Adjustable,NO.,0,#N/A,,
24141,Ammeter Digital Rishabh 96X96 0-10VDC Aux.suppl-40-300V AC/DC,NOS.,826,#N/A,,
10670,Ammeter SGD-28M LCD make LASCER,NOS.,8324.128,#N/A,,
68,Ammter Analog DC MECO 5A/20A (96x96)                                                                ,NOS.,381.67,#N/A,,
69,Anabond 652C 100gms                                                                                 ,NOS.,81.68,#N/A,,
71,Anabond 666T 100gms                                                                                  ,NO.,0,#N/A,,
20135,APFC relay   Janitza   Prophi-6R,NOS.,39265,#N/A,,
26039,APFC relay Frako PQC 1202401-0,NOS.,27000,#N/A,,
25864,APFC relay Janitza Prophi 7-III 14.16.028,NOS.,37800,#N/A,,
24489,APFC relay Janitza Prophi-12R,NOS.,47400,#N/A,,
27300,APFC relay Janitza Prophi-12RS,NOS.,56509,#N/A,,
16243,Aux. switch 1C/O type 3VT9100-2AB10 Siemens,NOS.,499.67,#N/A,,
19063,Aux. Switch 1NO+1NC Siemens 3VT9300-2AF10,NOS.,811.72,#N/A,,
18242,Auxilary Contact  Siemens 3VA9988-0AA12 (1 C/O),NOS.,1068.47,#N/A,,
32717,Auxilary Contact ABB 1SDA051368R1 AUX T1...T6 1Q 1SY,NOS.,1147.5,#N/A,,
30202,Auxilary Contact ABB 1SDA051368R1 Frame T1...T6 1Q 1SY,NOS.,1197,#N/A,,
28889,Auxilary Contact ABB 1SDA066422R1,NOS.,648,#N/A,,
30363,Auxilary Contact ABB 1SDA066431R1,NOS.,999,#N/A,,
32397,Auxilary Contact Kit L&T SK91302,NOS.,350,#N/A,,
20831,Auxilary Contact L&T CM99801OOOO (1 C/O),NOS.,640,#N/A,,
14771,Auxilary Contact Schneider GVAE11 NO+NC,NO.,0,#N/A,,
33357,Auxilary Contact Siemens 3RH29111HA10 (NO CONTACT),NOS.,169.167,#N/A,,
35463,Auxiliary Contact Block  ABB CA4-10 1SBN010110R1010,,128,#N/A,,
28323,AUXILIARY CONTACT BLOCK  Type: CAL 19-11B  Make: ABB,NOS.,487.96,#N/A,,
25609,Auxiliary Contact Siemens 3VW9011-0AG01,NOS.,1319.3,#N/A,,
23014,Auxiliary Contact Siemens 5ST3011 2 NO,NOS.,410.8,#N/A,,
29517,Auxiliary contacts ABB 1SCA022353R4970 OA1G10 1NO,NOS.,392,#N/A,,
29518,Auxiliary contacts ABB 1SCA022456R7410 OA3G01 1NC,NOS.,436.8,#N/A,,
28404,AUXILIRY  CONTACT SCHNEIDER CAE22 2NO+2NC,NOS.,590,#N/A,,
,Fright Charges,,,,,
2941,Auxillary Switch Siemens 3VL9400-2AB00(1NO+1NC),NOS.,1406.79,#N/A,,
16452,Auxillary Switch Siemens 3VL9800-2AC00(2NO+2NC),NOS.,2150.64,#N/A,,
20457,Auxillary Switch+ Alarm swItch Siemens 3VL9400-2AD00(1NO+1NC& 1NO),NOS.,1466.82,#N/A,,
16189,AW Punch Press St.-M-771-CP-S-10  Cap 70 Ton,NO.,0,#N/A,,
26562,AXIAL FAN HICOOL 4E-300  blower  230 vac   12 inch,NOS.,2581,#N/A,,
11879,Axial Fan type 4D315  400VAC  3 ph  50 Hz. Make - ebm-papst,NO.,0,#N/A,,
14848,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-10,NOS.,176.108,620,,
14849,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-12,NOS.,311.55,#N/A,,
14436,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-2,NOS.,107.995,508,,
14846,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-4,NOS.,138.79,508,,
14847,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-6,NOS.,176.067,572,,
14862,Cable-H07VV-K(1X2.5mm2) As per Drg. No. FK-292163-8,NOS.,170.456,604,,
302,Capacitor Alcon 10000mfd/100VDC PG6D                                                                ,NOS.,287.25,#N/A,,
17426,Capacitor Alcon 10000mfd/100VDC PG6DI 50x105,NO.,0,#N/A,,
25196,Capacitor Alcon 10000mfd/100VDC PG-6DI 50x105MM ,NOS.,310,#N/A,,
316,Capacitor Alcon 10000mfd/100VDC PG6DI 50x80                                                         ,NOS.,250,#N/A,,
297,Capacitor Alcon 10000mfd/150VDC PG6DI 63x145                                                         ,NOS.,715,#N/A,,
299,Capacitor Alcon 10000mfd/16VDC PG6D 35x60                                                           ,NOS.,235,#N/A,,
300,Capacitor Alcon 10000mfd/50VDC PG6D 35x60                                                           ,NOS.,150,#N/A,,
303,Capacitor Alcon 10000mfd/50VDC PG6D 50x80                                                           ,NOS.,158.5,#N/A,,
8373,Capacitor Alcon 10000mfd/50VDC PG6DI 35x80,NOS.,235,#N/A,,
317,Capacitor Alcon 10000mfd/63VDC PG6DI 50x80                                                          ,NOS.,340,#N/A,,
12577,Capacitor Alcon 1000mfd/450VDC PG6DI 50x105,NOS.,635,#N/A,,
304,Capacitor Alcon 15000mfd/100VDC PG6D 50x105                                                           ,NOS.,400,#N/A,,
319,Capacitor Alcon 15000mfd/150VDC PG6DI 76x145                                                        ,NOS.,1056,#N/A,,
3619,Capacitor Alcon 15000mfd/63VDC PG6DI,NOS.,202.09,#N/A,,
9541,Capacitor Alcon 1500mfd/500VDC PG6DI 63X105,NOS.,1269,#N/A,,
295,Capacitor Alcon 1mfd/1000VDC KP3C                                                                   ,NOS.,80,#N/A,,
296,Capacitor Alcon 1mfd/2000VDC KP3C                                                                   ,NOS.,220,#N/A,,
305,Capacitor Alcon 20000mfd/150VDC PG6DI 76x146                                                         ,NOS.,1820,#N/A,,
324,Capacitor Alcon 2000mfd/200VDC PG6DI 50x80                                                          ,NOS.,300,#N/A,,
12273,Capacitor Alcon 2200 mfd/350VDC PG6DI Size 63x120,NOS.,695,#N/A,,
24245,Capacitor Alcon 22000mfd/100VDC PG6DI 63X120     ,NOS.,798,#N/A,,
321,Capacitor Alcon 22000mfd/100VDC PG6DI 76x105                                                        ,NOS.,798,#N/A,,
322,Capacitor Alcon 22000mfd/150VDC PG6DI 76x175                                                        ,NOS.,305,#N/A,,
307,Capacitor Alcon 22000mfd/25VDC PG6D 35X105                                                         ,NOS.,250,#N/A,,
16716,Capacitor Alcon 22000mfd/75VDC PG6DI 63x105      ,NOS.,615.727,#N/A,,
3774,Capacitor Alcon 2200mfd/100VDC PG6DI 35x62             ,NOS.,250,#N/A,,
320,Capacitor Alcon 2200mfd/200VDC PG6DI  50X105                                                                ,NOS.,300,#N/A,,
325,Capacitor Alcon 2200mfd/250VDC PG6DI 50x105                                                          ,NOS.,330,#N/A,,
17623,Capacitor Alcon 2200mfd/350VDC PG6DI  63x120      ,NOS.,770,#N/A,,
14870,Capacitor Alcon 2200mfd/400VDC PG6DI 63x120       ,NOS.,1245,#N/A,,
334,Capacitor Alcon 2200mfd/450VDC PG-6SR-056                                                                ,NO.,0,#N/A,,
308,Capacitor Alcon 2500mfd/100VDC PG6D 35x80                                                           ,NOS.,250,#N/A,,
3632,Capacitor Alcon 27000mfd/35VDC PG6DI 50x105,NOS.,300.64,#N/A,,
15485,Capacitor Alcon 27000mfd/50VDC PG6DI 50x105,NO.,0,#N/A,,
327,Capacitor Alcon 33000mfd/50VDC PG6DI 50x105                                                         ,NOS.,534,#N/A,,
326,Capacitor Alcon 33000mfd/50VDC PG6DI 50x80                                                          ,NOS.,444,#N/A,,
328,Capacitor Alcon 33000mfd/63VDC PG6DI 63x105                                                         ,NOS.,450,#N/A,,
329,Capacitor Alcon 33000mfd/75VDC PG6DI 76x105                                                         ,NOS.,845,#N/A,,
330,Capacitor Alcon 3300mfd/250VDC PG6DI 63x120                                                         ,NOS.,270,#N/A,,
23045,Capacitor Alcon 3300mfd/350 VDC PG6DI 76x120,NO.,0,#N/A,,
18664,Capacitor ALCON 350 mfd / 350VDC PG6SR 35X 80,NOS.,215,#N/A,,
7430,Capacitor Alcon 47000mfd/100VDC PG6DI 76x146,NOS.,1945,#N/A,,
309,Capacitor Alcon 47000mfd/16VDC PG6D 50x80                                                           ,NOS.,250,#N/A,,
7589,Capacitor Alcon 47000mfd/50VDC PG6DI 65x105                  ,NO.,0,#N/A,,
15951,Capacitor Alcon 4700mfd/350VDC PG-6SR 054 76x120       ,NO.,0,#N/A,,
12036,Capacitor Alcon 4700mfd/450V DC PG6SR 001,NOS.,1635.63,#N/A,,
311,Capacitor Alcon 4700mfd/63VDC PG6DI 35x62                                                            ,NOS.,195,#N/A,,
3773,Capacitor Alcon 470mfd/450VDC PG6DI 50x105,NOS.,220,#N/A,,
314,Capacitor Alcon 5000mfd/75VDC PG6D 35X80                                                            ,NOS.,700,#N/A,,
290,Capacitor Alcon 5mfd/600VDC HF01                                                                    ,NOS.,0.01,#N/A,,
292,Capacitor Alcon 60mfd/1000VDC HF10                                                                  ,NOS.,0.01,#N/A,,
3618,Capacitor Alcon 6800/100VDC PG6DI 50x80,NOS.,192.56,#N/A,,
315,Capacitor Alcon 68000mfd/40VDC PG6D 76x105                                                          ,NOS.,480,#N/A,,
4470,Capacitor Alcon 6800mfd/150VDC PG6DI 63x105,NOS.,545,#N/A,,
18814,Capacitor Alcon 6800mfd/450V dc PG6DI,NOS.,3627,#N/A,,
333,Capacitor Alcon 680mfd/450VDC PG6DI 50x80                                                           ,NOS.,450,#N/A,,
335,Capacitor Alcon 680mfd/450VDC PG6SR077 50x80                                                        ,NOS.,450,#N/A,,
26786,Capacitor Alcon MPP film SD002000800AQ0Y300FSK01 200uF  ±10%  800VDC  60A ripple,NOS.,1900,#N/A,,
25315,CC Interface  MK574C  part no 192061,NOS.,13251.63,#N/A,,
23018,CLAMPS 10KN 105CC,NO.,0,#N/A,,
368,Clamps 10KN 90CC                                                                                    ,NOS.,288.25,#N/A,,
8369,Clamps 14.5KN 90CC,NOS.,400,#N/A,,
369,Clamps 20KN 90CC                                                                                    ,NOS.,335,#N/A,,
4907,Clamps 25KN 105CC,NOS.,638,#N/A,,
371,Clamps 25KN 90CC                                                                                    ,NOS.,475.741,#N/A,,
25806,Clamps 30KN 102CC,NOS.,700,#N/A,,
23850,Clamps 30KN 105CC,SET,806.667,#N/A,,
372,Clamps 40KN 132CC                                                                                   ,NOS.,1041.29,#N/A,,
23395,Clamps 6.5KN 90CC             ,NOS.,240,#N/A,,
283,Clamps for Capacitor 35mm                                                                           ,NOS.,6,#N/A,,
284,Clamps for Capacitor 50mm                                                                           ,NOS.,16.848,#N/A,,
22638,Clamps for Capacitor 50mm with 3 mounting leg  ,NOS.,9,#N/A,,
14871,Clamps for Capacitor 63mm                         ,NOS.,25,#N/A,,
285,Clamps for Capacitor 65mm                                                                           ,NOS.,21,#N/A,,
286,Clamps for Capacitor 76mm                                                                           ,NOS.,32,#N/A,,
2987,Clamps for Resistor 200W WWR,NOS.,64.62,#N/A,,
2988,Clamps for Resistor 300W WWR,NOS.,76.37,#N/A,,
375,Clamps for Resistor 50W WWR                                                                                  ,NOS.,43,#N/A,,
18003,CLAMPS MAKE RITTAL SV3451.500,NO.,0,#N/A,,
33099,Cleaner LOCTITE 7070 150 GMS,NOS.,1120,#N/A,,
14040,Cleanol CL - 03,LTR,155,#N/A,,
14041,Cleanol CL - 48,LTR,185,#N/A,,
15123,CONNECTION BLOCK PHOENIX   HDFKV16,NOS.,471.638,1065,,
15122,CONNECTION BLOCK PHOENIX   HDFKV50,NOS.,1029.934,1829,,
15121,CONNECTION BLOCK PHOENIX   HDFKV95/UWV95/S (MPN-1713226),NOS.,1459.66,4580,,
15178,Connection Box large  Bottom painted 8-10 Modules-A312458,NOS.,4364.811,#N/A,,
20404,Connection ferrule for 15X2  5mm pipe  Part no. 537463,NOS.,463.894,#N/A,,
20405,Connection ferrule for 22X3  0mm pipe  Part no. 537464,NOS.,454.136,#N/A,,
16343,Connection pipe F40 DIN 42 551 along with Reduction,SET,0,#N/A,,
33672,Connection plate Left A312072,NOS.,88.704,#N/A,,
33671,Connection plate Right A312071,NOS.,88.704,#N/A,,
27182,Connection terminal plate  Wohner  3 pole  01753,NOS.,5052.25,#N/A,,
15866,Connector  MSTBVK 2.5/12-G-5.08,NO.,0,#N/A,,
16561,Connector  MSTBVK 2.5/3-G-5.08,NOS.,87.72,#N/A,,
16721,Connector 4 Pole   12A   250V   Part code : 533174,NOS.,203.72,#N/A,,
20974,Connector Cap for D type connector 25 pin with connecting chain,NO.,0,#N/A,,
5013,Connector Molex/Connfit MiniFit Female14Pin5557-14R,NOS.,6.005,#N/A,,
15865,Connector MSTBVK 2.5/16-G-5.08,NO.,0,#N/A,,
11799,Connectors Molex 6471 8Pin D/S with 100cm Assly    ,SET,150,#N/A,,
384,Connectors Molex 6471 8Pin D/S with 20cm Assly                                                      ,NOS.,69.76,#N/A,,
385,Connectors Molex 6471 8Pin D/S with 30cm Assly                                                      ,NOS.,79.75,#N/A,,
4122,Connectors Molex 6471 8Pin D/S with 60cm Assly    ,NOS.,90,#N/A,,
23509,Connectors Molex DuraClik TPA 4 Circuits Black 505151-0400,NOS.,10.97,#N/A,,
